departure_time,destination,delay,station_name
2020-11-16 03:30:00,Flughafen München,0,Hallbergmoos
2020-11-15 22:30:00,Flughafen München,0,Hallbergmoos
2020-11-16 01:08:00,Flughafen München,5,Hallbergmoos
2020-11-15 21:48:00,Flughafen München,7,Hallbergmoos
2020-11-15 21:57:00,Flughafen München,2,Weßling
2020-11-15 22:37:00,Flughafen München,5,Weßling
2020-11-15 23:48:00,Flughafen München,1,Hallbergmoos
2020-11-15 23:17:00,Flughafen München,5,Weßling
2020-11-15 23:08:00,Flughafen München,1,Hallbergmoos
2020-11-16 02:48:00,Flughafen München,0,Hallbergmoos
2020-11-15 23:57:00,Flughafen München,10,Weßling
2020-11-16 00:28:00,Flughafen München,1,Hallbergmoos
2020-11-16 02:08:00,Flughafen München,0,Hallbergmoos
2020-11-16 03:37:00,Flughafen München,1,Weßling
2020-11-16 03:08:00,Flughafen München,0,Hallbergmoos
2020-11-16 03:57:00,Flughafen München,3,Weßling
2020-11-16 04:37:00,Flughafen München,2,Weßling
2020-11-15 21:24:00,Flughafen München,1,Ostbahnhof München
2020-11-16 05:50:00,Flughafen München,1,Seefeld-Hechendorf
2020-11-16 03:30:00,Flughafen München,0,Seefeld-Hechendorf
2020-11-16 04:50:00,Flughafen München,0,Seefeld-Hechendorf
2020-11-15 21:40:00,Flughafen München,0,Westkreuz
2020-11-15 21:50:00,Flughafen München,1,Seefeld-Hechendorf
2020-11-15 23:10:00,Flughafen München,5,Seefeld-Hechendorf
2020-11-15 23:50:00,Flughafen München,10,Seefeld-Hechendorf
2020-11-16 02:26:00,Flughafen München,1,Leuchtenbergring
2020-11-16 03:50:00,Flughafen München,2,Seefeld-Hechendorf
2020-11-16 04:30:00,Flughafen München,1,Seefeld-Hechendorf
2020-11-16 04:57:00,Flughafen München,1,Weßling
2020-11-16 05:10:00,Flughafen München,1,Seefeld-Hechendorf
2020-11-16 05:30:00,Flughafen München,2,Seefeld-Hechendorf
2020-11-17 18:57:00,Flughafen München,0,Weßling
2020-11-15 21:38:00,Flughafen München,0,Neuaubing
2020-11-15 22:18:00,Flughafen München,0,Neuaubing
2020-11-15 22:20:00,Flughafen München,0,Westkreuz
